a1,a2,a3,a4,a5,a6
0,0,1.5707963267949,0,0,0
0.00100090033917,-0.000899217980671,1.57223334116508,2.04157315164206,0.001123071850642,-2.04209595720733
0.002003602709997,-0.001796871468439,1.57366798570435,2.04153029038924,0.002248113247797,-2.04257431304898
0.003008109134835,-0.00269295976379,1.57510026437008,2.04148697737951,0.003375122145918,-2.04305062558018
0.004014421625789,-0.003587482143088,1.57653018109,2.04144321917885,0.004504096490191,-2.04352489827238
0.005022542184602,-0.004480437858663,1.57795773976243,2.04139902233105,0.00563503421647,-2.04399713456296
0.006032472802539,-0.005371826138898,1.57938294425648,2.04135439335767,0.006767933251143,-2.04446733785553
0.007044215460276,-0.00626164618832,1.58080579841219,2.04130933875902,0.007902791510876,-2.04493551152076
0.008057772127786,-0.007149897187683,1.58222630604074,2.04126386501386,0.009039606902621,-2.04540165889624
0.00907314476422,-0.008036578294058,1.58364447092468,2.04121797857986,0.010178377323235,-2.04586578328668
0.010090335317795,-0.008921688640915,1.58506029681802,2.04117168589411,0.011319100659555,-2.04632788796473
0.011109345725679,-0.009805227338214,1.5864737874465,2.04112499337328,0.012461774788049,-2.04678797617074
0.012130177913868,-0.010687193472484,1.58788494650773,2.0410779074139,0.013606397574698,-2.04724605111334
0.013152833797076,-0.011567586106911,1.58929377767136,2.04103043439261,0.014752966874904,-2.0477021159697
0.014177315278613,-0.012446404281419,1.59070028457929,2.04098258066663,0.01590148053329,-2.04815617388574
0.015203624250268,-0.013323647012757,1.59210447084581,2.04093435257378,0.017051936383463,-2.0486082279764
0.016231762592191,-0.014199313294576,1.5935063400578,2.04088575643295,0.018204332247958,-2.04905828132598
0.01726173217277,-0.015073402097519,1.59490589577489,2.0408367985444,0.019358665938046,-2.04950633698845
0.018293534848516,-0.015945912369295,1.59630314152964,2.0407874851899,0.020514935253501,-2.04995239798764
0.019327172463939,-0.016816843034765,1.5976980808277,2.04073782263311,0.021673137982487,-2.05039646731756
0.020362646851429,-0.01768619299602,1.59909071714798,2.04068781711976,0.02283327190146,-2.0508385479426
0.021399959831133,-0.018553961132466,1.60048105394282,2.04063747487803,0.023995334774878,-2.05127864279794
0.022439113210833,-0.019420146300899,1.60186909463816,2.04058680211875,0.025159324355084,-2.0517167547897
0.023480108785824,-0.020284747335586,1.60325484263368,2.04053580503569,0.026325238382204,-2.05215288679521
0.024522948338791,-0.021147763048346,1.60463830130299,2.04048448980575,0.027493074583897,-2.05258704166329
0.025567633639687,-0.022009192228625,1.60601947399379,2.0404328625894,0.028662830675192,-2.05301922221456
0.026614166445602,-0.02286903364358,1.60739836402801,2.0403809295307,0.029834504358404,-2.05344943124165
0.027662548500648,-0.023727286038151,1.60877497470198,2.04032869675774,0.031008093322857,-2.05387767150938
0.028712781535826,-0.024583948135142,1.61014930928659,2.04027617038279,0.032183595244815,-2.05430394575515
0.029764867268903,-0.0254390186353,1.61152137102742,2.04022335650261,0.03336100778724,-2.05472825668913
0.030818807404288,-0.026292496217384,1.61289116314493,2.04017026119867,0.034540328599676,-2.05515060699449
0.0318746036329,-0.027144379538252,1.61425868883461,2.04011689053739,0.035721555318045,-2.05557099932764
0.032932257632046,-0.027994667232931,1.6156239512671,2.04006325057041,0.036904685564511,-2.05598943631852
0.03399177106529,-0.028843357914693,1.61698695358837,2.04000934733478,0.038089716947281,-2.05640592057081
0.035053145582325,-0.029690450175133,1.61834769891984,2.0399551868533,0.039276647060449,-2.05682045466219
0.036116382818845,-0.030535942584243,1.61970619035858,2.03990077513461,0.040465473483848,-2.05723304114454
0.037181484396415,-0.031379833690486,1.62106243097737,2.03984611817356,0.04165619378283,-2.05764368254421
0.038248451922341,-0.032222122020874,1.62241642382496,2.03979122195138,0.042848805508161,-2.05805238136226
0.039317286989542,-0.03306280608104,1.62376817192611,2.03973609243587,0.044043306195791,-2.05845914007465
0.040387991176414,-0.033901884355311,1.62511767828178,2.03968073558175,0.045239693366724,-2.05886396113254
0.041460566046704,-0.034739355306788,1.62646494586927,2.03962515733076,0.046437964526839,-2.05926684696243
0.042535013149377,-0.035575217377411,1.62780997764238,2.03956936361196,0.047638117166707,-2.05966779996646
0.043611334018479,-0.03640946898804,1.62915277653148,2.03951336034191,0.048840148761429,-2.0600668225226
0.044689530173011,-0.037242108538524,1.63049334544373,2.03945715342491,0.050044056770463,-2.06046391698491
0.045769603116793,-0.038073134407777,1.63183168726318,2.03940074875325,0.051249838637461,-2.06085908568369
0.046851554338326,-0.038902544953849,1.63316780485089,2.03934415220733,0.052457491790087,-2.06125233092578
0.047935385310667,-0.039730338513999,1.6345017010451,2.03928736965595,0.053667013639849,-2.0616436549947
0.049021097491285,-0.040556513404768,1.63583337866133,2.03923040695658,0.054878401581925,-2.06203306015098
0.05010869232193,-0.041381067922051,1.63716284049253,2.03917326995539,0.056091652994991,-2.06242054863224
0.051198171228499,-0.042204000341172,1.63849008930924,2.03911596448762,0.057306765241062,-2.06280612265349
0.052289535620897,-0.04302530891695,1.63981512785966,2.03905849637773,0.0585237356653,-2.06318978440733
0.053382786892901,-0.043844991883778,1.64113795886981,2.0390008714396,0.05974256159584,-2.06357153606413
0.054477926422025,-0.044663047455688,1.64245858504368,2.0389430954767,0.060963240343643,-2.06395137977229
0.055574955569379,-0.045479473826428,1.64377700906333,2.03888517428238,0.062185769202293,-2.06432931765837
0.056673875679535,-0.046294269169533,1.64509323358901,2.03882711363999,0.063410145447839,-2.06470535182739
0.057774688080387,-0.047107431638392,1.64640726125932,2.03876891932308,0.064636366338623,-2.06507948436295
